percent test accuracy 0.561206996441, loop: 10
percent test accuracy 0.574169695377, loop: 20
percent test accuracy 0.583957314491, loop: 30
percent test accuracy 0.594044923782, loop: 40
percent test accuracy 0.600520014763, loop: 50
percent test accuracy 0.602107524872, loop: 60
percent test accuracy 0.609695136547, loop: 70
percent test accuracy 0.618645250797, loop: 80
percent test accuracy 0.623657822609, loop: 90
percent test accuracy 0.624595284462, loop: 100
percent test accuracy 0.631532907486, loop: 110
percent test accuracy 0.634020447731, loop: 120
percent test accuracy 0.635170459747, loop: 130
percent test accuracy 0.637857973576, loop: 140
percent test accuracy 0.641595542431, loop: 150
percent test accuracy 0.641620516777, loop: 160
percent test accuracy 0.650595605373, loop: 170
percent test accuracy 0.654595673084, loop: 180
percent test accuracy 0.658295750618, loop: 190
percent test accuracy 0.658270716667, loop: 200
percent test accuracy 0.657433211803, loop: 210
percent test accuracy 0.659870743752, loop: 220
percent test accuracy 0.660120725632, loop: 230
percent test accuracy 0.662770807743, loop: 240
percent test accuracy 0.66207075119, loop: 250
percent test accuracy 0.665933310986, loop: 260
percent test accuracy 0.667495846748, loop: 270
percent test accuracy 0.67385840416, loop: 280
percent test accuracy 0.674095928669, loop: 290
percent test accuracy 0.672683417797, loop: 300
percent test accuracy 0.677295982838, loop: 310
percent test accuracy 0.678045988083, loop: 320
percent test accuracy 0.677845954895, loop: 330
percent test accuracy 0.67972099781, loop: 340
percent test accuracy 0.682483553886, loop: 350
percent test accuracy 0.683008551598, loop: 360
percent test accuracy 0.683733522892, loop: 370
percent test accuracy 0.683096051216, loop: 380
percent test accuracy 0.686333596706, loop: 390
percent test accuracy 0.687758624554, loop: 400
percent test accuracy 0.68939614296, loop: 410
percent test accuracy 0.690071105957, loop: 420
percent test accuracy 0.691721141338, loop: 430
percent test accuracy 0.691796123981, loop: 440
percent test accuracy 0.694346189499, loop: 450
percent test accuracy 0.696933686733, loop: 460
percent test accuracy 0.698758721352, loop: 470
percent test accuracy 0.697971224785, loop: 480
percent test accuracy 0.696333706379, loop: 490
percent test accuracy 0.695383667946, loop: 500
percent test accuracy 0.69785875082, loop: 510
percent test accuracy 0.69808369875, loop: 520
percent test accuracy 0.700983762741, loop: 530
percent test accuracy 0.701733767986, loop: 540
percent test accuracy 0.703796327114, loop: 550
percent test accuracy 0.702721297741, loop: 560
percent test accuracy 0.70269626379, loop: 570
percent test accuracy 0.704133808613, loop: 580
percent test accuracy 0.704208791256, loop: 590
percent test accuracy 0.706071317196, loop: 600
percent test accuracy 0.707196354866, loop: 610
percent test accuracy 0.708196341991, loop: 620
percent test accuracy 0.706971347332, loop: 630
percent test accuracy 0.707958877087, loop: 640
percent test accuracy 0.709833860397, loop: 650
percent test accuracy 0.710221350193, loop: 660
percent test accuracy 0.709058880806, loop: 670
percent test accuracy 0.709546387196, loop: 680
percent test accuracy 0.7097838521, loop: 690
percent test accuracy 0.709933876991, loop: 700
percent test accuracy 0.711658895016, loop: 710
