percent test accuracy 0.506593763828, loop: 10
percent test accuracy 0.507281243801, loop: 20
percent test accuracy 0.509750008583, loop: 30
percent test accuracy 0.512031257153, loop: 40
percent test accuracy 0.513656258583, loop: 50
percent test accuracy 0.514718770981, loop: 60
percent test accuracy 0.516937494278, loop: 70
percent test accuracy 0.519249975681, loop: 80
percent test accuracy 0.520500004292, loop: 90
percent test accuracy 0.521875023842, loop: 100
percent test accuracy 0.52356249094, loop: 110
percent test accuracy 0.525187492371, loop: 120
percent test accuracy 0.525749981403, loop: 130
percent test accuracy 0.527406275272, loop: 140
percent test accuracy 0.528093755245, loop: 150
percent test accuracy 0.529187500477, loop: 160
percent test accuracy 0.530031263828, loop: 170
percent test accuracy 0.53100001812, loop: 180
percent test accuracy 0.531968772411, loop: 190
percent test accuracy 0.532781243324, loop: 200
percent test accuracy 0.533749997616, loop: 210
percent test accuracy 0.535125017166, loop: 220
percent test accuracy 0.535906255245, loop: 230
percent test accuracy 0.536937475204, loop: 240
percent test accuracy 0.537781238556, loop: 250
percent test accuracy 0.538718760014, loop: 260
percent test accuracy 0.539781272411, loop: 270
percent test accuracy 0.541156232357, loop: 280
percent test accuracy 0.542375028133, loop: 290
percent test accuracy 0.543187499046, loop: 300
percent test accuracy 0.543968737125, loop: 310
percent test accuracy 0.544875025749, loop: 320
percent test accuracy 0.546124994755, loop: 330
percent test accuracy 0.546843767166, loop: 340
percent test accuracy 0.548218727112, loop: 350
percent test accuracy 0.549499988556, loop: 360
percent test accuracy 0.55040627718, loop: 370
percent test accuracy 0.551750004292, loop: 380
percent test accuracy 0.552625000477, loop: 390
percent test accuracy 0.553531229496, loop: 400
percent test accuracy 0.55431252718, loop: 410
percent test accuracy 0.556093752384, loop: 420
percent test accuracy 0.556749999523, loop: 430
percent test accuracy 0.55821877718, loop: 440
percent test accuracy 0.558624982834, loop: 450
percent test accuracy 0.559875011444, loop: 460
percent test accuracy 0.560968756676, loop: 470
percent test accuracy 0.561656236649, loop: 480
percent test accuracy 0.562593758106, loop: 490
percent test accuracy 0.563218772411, loop: 500
