percent test accuracy 0.548712491989, loop: 10
percent test accuracy 0.547349989414, loop: 20
percent test accuracy 0.546037495136, loop: 30
percent test accuracy 0.545750021935, loop: 40
percent test accuracy 0.544825017452, loop: 50
percent test accuracy 0.545312523842, loop: 60
percent test accuracy 0.545825004578, loop: 70
percent test accuracy 0.545650005341, loop: 80
percent test accuracy 0.546100020409, loop: 90
percent test accuracy 0.546862483025, loop: 100
percent test accuracy 0.546962499619, loop: 110
percent test accuracy 0.547025024891, loop: 120
percent test accuracy 0.548187494278, loop: 130
percent test accuracy 0.549462497234, loop: 140
percent test accuracy 0.550549983978, loop: 150
percent test accuracy 0.550387501717, loop: 160
percent test accuracy 0.552124977112, loop: 170
percent test accuracy 0.553462505341, loop: 180
percent test accuracy 0.553512513638, loop: 190
percent test accuracy 0.553900003433, loop: 200
percent test accuracy 0.554162502289, loop: 210
percent test accuracy 0.553637504578, loop: 220
percent test accuracy 0.554862499237, loop: 230
percent test accuracy 0.554700016975, loop: 240
percent test accuracy 0.55343747139, loop: 250
percent test accuracy 0.55318748951, loop: 260
percent test accuracy 0.554462492466, loop: 270
percent test accuracy 0.553712487221, loop: 280
percent test accuracy 0.554475009441, loop: 290
percent test accuracy 0.554887473583, loop: 300
percent test accuracy 0.556949973106, loop: 310
percent test accuracy 0.558237493038, loop: 320
percent test accuracy 0.557150006294, loop: 330
percent test accuracy 0.557775020599, loop: 340
percent test accuracy 0.559074997902, loop: 350
percent test accuracy 0.56262499094, loop: 360
percent test accuracy 0.562650024891, loop: 370
percent test accuracy 0.563624978065, loop: 380
percent test accuracy 0.562562525272, loop: 390
percent test accuracy 0.563512504101, loop: 400
percent test accuracy 0.563024997711, loop: 410
percent test accuracy 0.563449978828, loop: 420
percent test accuracy 0.562662482262, loop: 430
percent test accuracy 0.56213748455, loop: 440
percent test accuracy 0.56336247921, loop: 450
percent test accuracy 0.566662490368, loop: 460
percent test accuracy 0.56559997797, loop: 470
percent test accuracy 0.565575003624, loop: 480
percent test accuracy 0.568012475967, loop: 490
percent test accuracy 0.569412529469, loop: 500
percent test accuracy 0.568499982357, loop: 510
percent test accuracy 0.566762506962, loop: 520
percent test accuracy 0.567162513733, loop: 530
percent test accuracy 0.56685000658, loop: 540
