percent test accuracy 0.507222771645, loop: 10
percent test accuracy 0.506846904755, loop: 20
percent test accuracy 0.508438050747, loop: 30
percent test accuracy 0.505155563354, loop: 40
percent test accuracy 0.505030274391, loop: 50
percent test accuracy 0.501885592937, loop: 60
percent test accuracy 0.508237600327, loop: 70
percent test accuracy 0.512722849846, loop: 80
percent test accuracy 0.511169314384, loop: 90
percent test accuracy 0.50705987215, loop: 100
percent test accuracy 0.515378952026, loop: 110
percent test accuracy 0.510467708111, loop: 120
percent test accuracy 0.514552056789, loop: 130
percent test accuracy 0.515654563904, loop: 140
percent test accuracy 0.517333388329, loop: 150
percent test accuracy 0.510417580605, loop: 160
percent test accuracy 0.510317325592, loop: 170
percent test accuracy 0.509828746319, loop: 180
percent test accuracy 0.512722849846, loop: 190
percent test accuracy 0.510292291641, loop: 200
percent test accuracy 0.509565651417, loop: 210
percent test accuracy 0.517746865749, loop: 220
percent test accuracy 0.518235445023, loop: 230
percent test accuracy 0.51926279068, loop: 240
percent test accuracy 0.517759382725, loop: 250
percent test accuracy 0.516970098019, loop: 260
percent test accuracy 0.515191018581, loop: 270
percent test accuracy 0.52585285902, loop: 280
percent test accuracy 0.521355092525, loop: 290
percent test accuracy 0.523447394371, loop: 300
percent test accuracy 0.522069215775, loop: 310
percent test accuracy 0.518924534321, loop: 320
percent test accuracy 0.52267062664, loop: 330
percent test accuracy 0.517583966255, loop: 340
percent test accuracy 0.520691096783, loop: 350
percent test accuracy 0.525351762772, loop: 360
percent test accuracy 0.532380342484, loop: 370
percent test accuracy 0.520979225636, loop: 380
percent test accuracy 0.521104514599, loop: 390
percent test accuracy 0.523860812187, loop: 400
percent test accuracy 0.530338168144, loop: 410
percent test accuracy 0.521981537342, loop: 420
percent test accuracy 0.526880264282, loop: 430
percent test accuracy 0.530338168144, loop: 440
percent test accuracy 0.530212879181, loop: 450
percent test accuracy 0.541889548302, loop: 460
percent test accuracy 0.5266045928, loop: 470
percent test accuracy 0.533796072006, loop: 480
percent test accuracy 0.525740146637, loop: 490
percent test accuracy 0.534297227859, loop: 500
percent test accuracy 0.530438363552, loop: 510
percent test accuracy 0.518273055553, loop: 520
percent test accuracy 0.525364279747, loop: 530
percent test accuracy 0.529761850834, loop: 540
percent test accuracy 0.52789503336, loop: 550
percent test accuracy 0.530977129936, loop: 560
percent test accuracy 0.535099029541, loop: 570
percent test accuracy 0.527882516384, loop: 580
percent test accuracy 0.531854093075, loop: 590
percent test accuracy 0.535186767578, loop: 600
percent test accuracy 0.537980616093, loop: 610
percent test accuracy 0.537592232227, loop: 620
percent test accuracy 0.538356482983, loop: 630
percent test accuracy 0.538594543934, loop: 640
percent test accuracy 0.540310978889, loop: 650
percent test accuracy 0.542678892612, loop: 660
percent test accuracy 0.535462379456, loop: 670
percent test accuracy 0.536790430546, loop: 680
percent test accuracy 0.527581870556, loop: 690
percent test accuracy 0.529298245907, loop: 700
percent test accuracy 0.530651390553, loop: 710
percent test accuracy 0.532442986965, loop: 720
percent test accuracy 0.515316307545, loop: 730
percent test accuracy 0.538895249367, loop: 740
percent test accuracy 0.533758461475, loop: 750
percent test accuracy 0.530212879181, loop: 760
percent test accuracy 0.536126375198, loop: 770
percent test accuracy 0.525339186192, loop: 780
percent test accuracy 0.540523946285, loop: 790
percent test accuracy 0.542077481747, loop: 800
percent test accuracy 0.543393015862, loop: 810
percent test accuracy 0.537943065166, loop: 820
percent test accuracy 0.534084200859, loop: 830
percent test accuracy 0.532768726349, loop: 840
percent test accuracy 0.537554681301, loop: 850
percent test accuracy 0.532643437386, loop: 860
percent test accuracy 0.541363358498, loop: 870
percent test accuracy 0.528634250164, loop: 880
percent test accuracy 0.541313230991, loop: 890
percent test accuracy 0.540173172951, loop: 900
percent test accuracy 0.535976052284, loop: 910
percent test accuracy 0.540649235249, loop: 920
percent test accuracy 0.549106061459, loop: 930
percent test accuracy 0.533031821251, loop: 940
percent test accuracy 0.530501008034, loop: 950
percent test accuracy 0.52225714922, loop: 960
percent test accuracy 0.533044338226, loop: 970
percent test accuracy 0.528007805347, loop: 980
percent test accuracy 0.537592232227, loop: 990
percent test accuracy 0.528759539127, loop: 1000
percent test accuracy 0.538494288921, loop: 1010
percent test accuracy 0.532468020916, loop: 1020
percent test accuracy 0.539897501469, loop: 1030
