percent test accuracy 0.521590650082, loop: 1510
percent test accuracy 0.518519699574, loop: 1520
percent test accuracy 0.525601625443, loop: 1530
percent test accuracy 0.539953649044, loop: 1540
percent test accuracy 0.524943590164, loop: 1550
percent test accuracy 0.530145406723, loop: 1560
percent test accuracy 0.53547257185, loop: 1570
percent test accuracy 0.524724245071, loop: 1580
percent test accuracy 0.524128854275, loop: 1590
percent test accuracy 0.537634730339, loop: 1600
percent test accuracy 0.525852322578, loop: 1610
percent test accuracy 0.527325153351, loop: 1620
percent test accuracy 0.539232909679, loop: 1630
percent test accuracy 0.519271731377, loop: 1640
percent test accuracy 0.527826547623, loop: 1650
percent test accuracy 0.530176758766, loop: 1660
percent test accuracy 0.533529698849, loop: 1670
percent test accuracy 0.526761114597, loop: 1680
percent test accuracy 0.529236674309, loop: 1690
percent test accuracy 0.528453230858, loop: 1700
percent test accuracy 0.52813988924, loop: 1710
percent test accuracy 0.530239403248, loop: 1720
percent test accuracy 0.531649529934, loop: 1730
percent test accuracy 0.545343458652, loop: 1740
percent test accuracy 0.530051410198, loop: 1750
percent test accuracy 0.52403485775, loop: 1760
percent test accuracy 0.522374033928, loop: 1770
percent test accuracy 0.535660564899, loop: 1780
percent test accuracy 0.525037586689, loop: 1790
percent test accuracy 0.514602661133, loop: 1800
percent test accuracy 0.517892956734, loop: 1810
percent test accuracy 0.542397856712, loop: 1820
percent test accuracy 0.536851346493, loop: 1830
percent test accuracy 0.526385068893, loop: 1840
percent test accuracy 0.521903991699, loop: 1850
percent test accuracy 0.531116843224, loop: 1860
percent test accuracy 0.51206445694, loop: 1870
percent test accuracy 0.540172994137, loop: 1880
percent test accuracy 0.536130607128, loop: 1890
percent test accuracy 0.529456019402, loop: 1900
percent test accuracy 0.529675364494, loop: 1910
percent test accuracy 0.524912238121, loop: 1920
percent test accuracy 0.533153653145, loop: 1930
percent test accuracy 0.531931579113, loop: 1940
percent test accuracy 0.530051410198, loop: 1950
percent test accuracy 0.531586885452, loop: 1960
percent test accuracy 0.514195263386, loop: 1970
percent test accuracy 0.523752808571, loop: 1980
percent test accuracy 0.523000776768, loop: 1990
percent test accuracy 0.536945343018, loop: 2000
percent test accuracy 0.532150924206, loop: 2010
percent test accuracy 0.522280037403, loop: 2020
percent test accuracy 0.519585132599, loop: 2030
percent test accuracy 0.515448749065, loop: 2040
percent test accuracy 0.51491600275, loop: 2050
percent test accuracy 0.523094773293, loop: 2060
percent test accuracy 0.522593379021, loop: 2070
percent test accuracy 0.53681999445, loop: 2080
percent test accuracy 0.529267966747, loop: 2090
percent test accuracy 0.523690164089, loop: 2100
percent test accuracy 0.540705680847, loop: 2110
percent test accuracy 0.537916779518, loop: 2120
percent test accuracy 0.513881921768, loop: 2130
percent test accuracy 0.534438431263, loop: 2140
percent test accuracy 0.529675364494, loop: 2150
percent test accuracy 0.524442195892, loop: 2160
percent test accuracy 0.538136124611, loop: 2170
percent test accuracy 0.526604413986, loop: 2180
percent test accuracy 0.531586885452, loop: 2190
percent test accuracy 0.537697434425, loop: 2200
percent test accuracy 0.521496593952, loop: 2210
percent test accuracy 0.523157417774, loop: 2220
percent test accuracy 0.532213568687, loop: 2230
percent test accuracy 0.520775854588, loop: 2240
percent test accuracy 0.528014540672, loop: 2250
percent test accuracy 0.5275131464, loop: 2260
percent test accuracy 0.533185005188, loop: 2270
percent test accuracy 0.528891980648, loop: 2280
percent test accuracy 0.524066209793, loop: 2290
percent test accuracy 0.5242228508, loop: 2300
percent test accuracy 0.530928790569, loop: 2310
percent test accuracy 0.53108549118, loop: 2320
percent test accuracy 0.533999741077, loop: 2330
percent test accuracy 0.521120607853, loop: 2340
percent test accuracy 0.519522428513, loop: 2350
percent test accuracy 0.513035833836, loop: 2360
percent test accuracy 0.518362998962, loop: 2370
percent test accuracy 0.520431160927, loop: 2380
percent test accuracy 0.525413632393, loop: 2390
percent test accuracy 0.514978706837, loop: 2400
percent test accuracy 0.532370269299, loop: 2410
percent test accuracy 0.519052386284, loop: 2420
percent test accuracy 0.526635766029, loop: 2430
percent test accuracy 0.531304836273, loop: 2440
percent test accuracy 0.530709445477, loop: 2450
