percent test accuracy 0.499624997377, loop: 10
percent test accuracy 0.498312503099, loop: 20
percent test accuracy 0.49759376049, loop: 30
percent test accuracy 0.496468752623, loop: 40
percent test accuracy 0.495499998331, loop: 50
percent test accuracy 0.495718747377, loop: 60
percent test accuracy 0.495249986649, loop: 70
percent test accuracy 0.495437502861, loop: 80
percent test accuracy 0.495562493801, loop: 90
percent test accuracy 0.495093762875, loop: 100
percent test accuracy 0.495312511921, loop: 110
percent test accuracy 0.494843751192, loop: 120
percent test accuracy 0.495312511921, loop: 130
percent test accuracy 0.494875013828, loop: 140
percent test accuracy 0.495062500238, loop: 150
percent test accuracy 0.495062500238, loop: 160
percent test accuracy 0.495124995708, loop: 170
percent test accuracy 0.494656264782, loop: 180
percent test accuracy 0.49459373951, loop: 190
percent test accuracy 0.495093762875, loop: 200
percent test accuracy 0.494875013828, loop: 210
percent test accuracy 0.494156241417, loop: 220
percent test accuracy 0.495093762875, loop: 230
percent test accuracy 0.495249986649, loop: 240
percent test accuracy 0.495187491179, loop: 250
percent test accuracy 0.494343757629, loop: 260
percent test accuracy 0.494187504053, loop: 270
percent test accuracy 0.493812501431, loop: 280
percent test accuracy 0.494062513113, loop: 290
percent test accuracy 0.494500011206, loop: 300
percent test accuracy 0.493874996901, loop: 310
percent test accuracy 0.493499994278, loop: 320
percent test accuracy 0.493406236172, loop: 330
percent test accuracy 0.495124995708, loop: 340
percent test accuracy 0.494249999523, loop: 350
percent test accuracy 0.494062513113, loop: 360
percent test accuracy 0.493718743324, loop: 370
percent test accuracy 0.493812501431, loop: 380
percent test accuracy 0.494218736887, loop: 390
percent test accuracy 0.494281262159, loop: 400
percent test accuracy 0.494468748569, loop: 410
percent test accuracy 0.494468748569, loop: 420
percent test accuracy 0.494781255722, loop: 430
percent test accuracy 0.495312511921, loop: 440
percent test accuracy 0.49453124404, loop: 450
percent test accuracy 0.494468748569, loop: 460
percent test accuracy 0.494718760252, loop: 470
percent test accuracy 0.494968742132, loop: 480
percent test accuracy 0.494500011206, loop: 490
percent test accuracy 0.495000004768, loop: 500
percent test accuracy 0.494562506676, loop: 510
percent test accuracy 0.495281249285, loop: 520
percent test accuracy 0.495468735695, loop: 530
percent test accuracy 0.495406240225, loop: 540
percent test accuracy 0.495406240225, loop: 550
percent test accuracy 0.495624989271, loop: 560
percent test accuracy 0.495437502861, loop: 570
percent test accuracy 0.495375007391, loop: 580
percent test accuracy 0.494687497616, loop: 590
percent test accuracy 0.495281249285, loop: 600
percent test accuracy 0.495000004768, loop: 610
percent test accuracy 0.494781255722, loop: 620
percent test accuracy 0.494843751192, loop: 630
percent test accuracy 0.494812488556, loop: 640
percent test accuracy 0.494656264782, loop: 650
percent test accuracy 0.494906246662, loop: 660
percent test accuracy 0.495406240225, loop: 670
percent test accuracy 0.495718747377, loop: 680
percent test accuracy 0.495593756437, loop: 690
percent test accuracy 0.495156258345, loop: 700
percent test accuracy 0.495187491179, loop: 710
percent test accuracy 0.495249986649, loop: 720
percent test accuracy 0.495843738317, loop: 730
percent test accuracy 0.495624989271, loop: 740
percent test accuracy 0.495499998331, loop: 750
percent test accuracy 0.495624989271, loop: 760
percent test accuracy 0.495312511921, loop: 770
percent test accuracy 0.494749993086, loop: 780
percent test accuracy 0.494875013828, loop: 790
percent test accuracy 0.495281249285, loop: 800
percent test accuracy 0.495375007391, loop: 810
percent test accuracy 0.495156258345, loop: 820
percent test accuracy 0.495531260967, loop: 830
percent test accuracy 0.495562493801, loop: 840
percent test accuracy 0.495343744755, loop: 850
percent test accuracy 0.495156258345, loop: 860
percent test accuracy 0.495312511921, loop: 870
percent test accuracy 0.496250003576, loop: 880
percent test accuracy 0.496499985456, loop: 890
percent test accuracy 0.49609375, loop: 900
percent test accuracy 0.496562510729, loop: 910
percent test accuracy 0.49615624547, loop: 920
percent test accuracy 0.496125012636, loop: 930
percent test accuracy 0.49628123641, loop: 940
percent test accuracy 0.496125012636, loop: 950
percent test accuracy 0.496062487364, loop: 960
percent test accuracy 0.496406257153, loop: 970
percent test accuracy 0.49628123641, loop: 980
percent test accuracy 0.496406257153, loop: 990
percent test accuracy 0.496656239033, loop: 1000
percent test accuracy 0.497218757868, loop: 1010
percent test accuracy 0.497218757868, loop: 1020
percent test accuracy 0.496937513351, loop: 1030
percent test accuracy 0.496874988079, loop: 1040
percent test accuracy 0.496937513351, loop: 1050
percent test accuracy 0.497093737125, loop: 1060
percent test accuracy 0.497000008821, loop: 1070
percent test accuracy 0.497718751431, loop: 1080
percent test accuracy 0.497406244278, loop: 1090
percent test accuracy 0.497562497854, loop: 1100
percent test accuracy 0.497187495232, loop: 1110
percent test accuracy 0.496718764305, loop: 1120
percent test accuracy 0.497281253338, loop: 1130
percent test accuracy 0.497249990702, loop: 1140
percent test accuracy 0.497437506914, loop: 1150
percent test accuracy 0.497687488794, loop: 1160
percent test accuracy 0.497968763113, loop: 1170
percent test accuracy 0.498343735933, loop: 1180
percent test accuracy 0.498374998569, loop: 1190
percent test accuracy 0.498656243086, loop: 1200
percent test accuracy 0.499000012875, loop: 1210
percent test accuracy 0.499468743801, loop: 1220
percent test accuracy 0.499437510967, loop: 1230
percent test accuracy 0.499125003815, loop: 1240
percent test accuracy 0.499281257391, loop: 1250
percent test accuracy 0.499312490225, loop: 1260
percent test accuracy 0.499781250954, loop: 1270
percent test accuracy 0.498281240463, loop: 1280
percent test accuracy 0.498062491417, loop: 1290
percent test accuracy 0.499156236649, loop: 1300
percent test accuracy 0.499843746424, loop: 1310
percent test accuracy 0.500187516212, loop: 1320
percent test accuracy 0.500031232834, loop: 1330
percent test accuracy 0.500187516212, loop: 1340
percent test accuracy 0.49981251359, loop: 1350
percent test accuracy 0.500625014305, loop: 1360
percent test accuracy 0.500062525272, loop: 1370
percent test accuracy 0.500312507153, loop: 1380
percent test accuracy 0.50012499094, loop: 1390
percent test accuracy 0.500343739986, loop: 1400
percent test accuracy 0.500187516212, loop: 1410
percent test accuracy 0.499656260014, loop: 1420
percent test accuracy 0.49987500906, loop: 1430
percent test accuracy 0.499749988317, loop: 1440
percent test accuracy 0.500500023365, loop: 1450
percent test accuracy 0.499437510967, loop: 1460
percent test accuracy 0.499906241894, loop: 1470
percent test accuracy 0.499781250954, loop: 1480
percent test accuracy 0.500468730927, loop: 1490
percent test accuracy 0.500500023365, loop: 1500
percent test accuracy 0.500562489033, loop: 1510
percent test accuracy 0.501281261444, loop: 1520
percent test accuracy 0.500281274319, loop: 1530
percent test accuracy 0.501312494278, loop: 1540
percent test accuracy 0.501281261444, loop: 1550
percent test accuracy 0.50125002861, loop: 1560
percent test accuracy 0.501625001431, loop: 1570
percent test accuracy 0.500968754292, loop: 1580
percent test accuracy 0.501687526703, loop: 1590
percent test accuracy 0.50137501955, loop: 1600
percent test accuracy 0.501656234264, loop: 1610
percent test accuracy 0.500812470913, loop: 1620
percent test accuracy 0.500874996185, loop: 1630
percent test accuracy 0.500968754292, loop: 1640
percent test accuracy 0.500781238079, loop: 1650
percent test accuracy 0.500593721867, loop: 1660
percent test accuracy 0.500906229019, loop: 1670
percent test accuracy 0.501031279564, loop: 1680
percent test accuracy 0.50137501955, loop: 1690
percent test accuracy 0.501156270504, loop: 1700
percent test accuracy 0.501687526703, loop: 1710
percent test accuracy 0.501781225204, loop: 1720
percent test accuracy 0.501937508583, loop: 1730
percent test accuracy 0.500999987125, loop: 1740
percent test accuracy 0.501468777657, loop: 1750
percent test accuracy 0.501218736172, loop: 1760
percent test accuracy 0.501468777657, loop: 1770
percent test accuracy 0.501625001431, loop: 1780
percent test accuracy 0.501749992371, loop: 1790
percent test accuracy 0.501906275749, loop: 1800
percent test accuracy 0.502812504768, loop: 1810
percent test accuracy 0.501906275749, loop: 1820
percent test accuracy 0.502031266689, loop: 1830
percent test accuracy 0.502593755722, loop: 1840
percent test accuracy 0.502624988556, loop: 1850
percent test accuracy 0.502437472343, loop: 1860
percent test accuracy 0.502375006676, loop: 1870
percent test accuracy 0.502624988556, loop: 1880
percent test accuracy 0.502312481403, loop: 1890
percent test accuracy 0.502312481403, loop: 1900
percent test accuracy 0.502468764782, loop: 1910
percent test accuracy 0.502062499523, loop: 1920
percent test accuracy 0.502343773842, loop: 1930
percent test accuracy 0.502562522888, loop: 1940
percent test accuracy 0.502968728542, loop: 1950
percent test accuracy 0.502499997616, loop: 1960
percent test accuracy 0.502093732357, loop: 1970
percent test accuracy 0.502343773842, loop: 1980
percent test accuracy 0.502156257629, loop: 1990
percent test accuracy 0.502499997616, loop: 2000
percent test accuracy 0.50240623951, loop: 2010
percent test accuracy 0.502843737602, loop: 2020
percent test accuracy 0.502843737602, loop: 2030
percent test accuracy 0.502250015736, loop: 2040
percent test accuracy 0.503499984741, loop: 2050
percent test accuracy 0.503374993801, loop: 2060
percent test accuracy 0.503281235695, loop: 2070
percent test accuracy 0.502156257629, loop: 2080
percent test accuracy 0.502312481403, loop: 2090
percent test accuracy 0.502218723297, loop: 2100
percent test accuracy 0.502624988556, loop: 2110
percent test accuracy 0.502499997616, loop: 2120
