percent test accuracy 0.518249988556, loop: 10
percent test accuracy 0.518312513828, loop: 20
percent test accuracy 0.521000027657, loop: 30
percent test accuracy 0.519468724728, loop: 40
percent test accuracy 0.521125018597, loop: 50
percent test accuracy 0.52078127861, loop: 60
percent test accuracy 0.520656228065, loop: 70
percent test accuracy 0.521749973297, loop: 80
percent test accuracy 0.523249983788, loop: 90
percent test accuracy 0.525718748569, loop: 100
percent test accuracy 0.527437508106, loop: 110
percent test accuracy 0.53112500906, loop: 120
percent test accuracy 0.53100001812, loop: 130
percent test accuracy 0.533625006676, loop: 140
percent test accuracy 0.53365623951, loop: 150
percent test accuracy 0.536468744278, loop: 160
percent test accuracy 0.536062479019, loop: 170
percent test accuracy 0.539499998093, loop: 180
percent test accuracy 0.540593743324, loop: 190
percent test accuracy 0.541000008583, loop: 200
percent test accuracy 0.542500019073, loop: 210
percent test accuracy 0.545125007629, loop: 220
percent test accuracy 0.545249998569, loop: 230
percent test accuracy 0.545906245708, loop: 240
percent test accuracy 0.547906279564, loop: 250
percent test accuracy 0.549218773842, loop: 260
percent test accuracy 0.553125023842, loop: 270
percent test accuracy 0.55493748188, loop: 280
percent test accuracy 0.557562470436, loop: 290
percent test accuracy 0.55821877718, loop: 300
percent test accuracy 0.564593732357, loop: 310
percent test accuracy 0.563937485218, loop: 320
percent test accuracy 0.564281225204, loop: 330
percent test accuracy 0.565625011921, loop: 340
percent test accuracy 0.567312479019, loop: 350
percent test accuracy 0.568499982357, loop: 360
percent test accuracy 0.571937501431, loop: 370
percent test accuracy 0.57446873188, loop: 380
percent test accuracy 0.573218762875, loop: 390
percent test accuracy 0.574812471867, loop: 400
percent test accuracy 0.57674998045, loop: 410
percent test accuracy 0.576281249523, loop: 420
percent test accuracy 0.580062508583, loop: 430
percent test accuracy 0.581250011921, loop: 440
percent test accuracy 0.580343723297, loop: 450
percent test accuracy 0.582750022411, loop: 460
percent test accuracy 0.584531247616, loop: 470
percent test accuracy 0.586812496185, loop: 480
percent test accuracy 0.586593747139, loop: 490
percent test accuracy 0.589218735695, loop: 500
percent test accuracy 0.58946877718, loop: 510
percent test accuracy 0.588374972343, loop: 520
percent test accuracy 0.589281260967, loop: 530
percent test accuracy 0.590125024319, loop: 540
percent test accuracy 0.59121876955, loop: 550
percent test accuracy 0.592468738556, loop: 560
percent test accuracy 0.594843745232, loop: 570
percent test accuracy 0.594937503338, loop: 580
percent test accuracy 0.593343734741, loop: 590
percent test accuracy 0.596343755722, loop: 600
percent test accuracy 0.598375022411, loop: 610
percent test accuracy 0.600531220436, loop: 620
percent test accuracy 0.598812520504, loop: 630
percent test accuracy 0.59778124094, loop: 640
percent test accuracy 0.599062502384, loop: 650
percent test accuracy 0.601468741894, loop: 660
percent test accuracy 0.603312492371, loop: 670
percent test accuracy 0.603093743324, loop: 680
percent test accuracy 0.602687478065, loop: 690
percent test accuracy 0.603468775749, loop: 700
percent test accuracy 0.604062497616, loop: 710
percent test accuracy 0.605562508106, loop: 720
percent test accuracy 0.606593728065, loop: 730
percent test accuracy 0.607906222343, loop: 740
percent test accuracy 0.608218729496, loop: 750
percent test accuracy 0.607718765736, loop: 760
percent test accuracy 0.608500003815, loop: 770
percent test accuracy 0.609781265259, loop: 780
percent test accuracy 0.610718727112, loop: 790
percent test accuracy 0.608968734741, loop: 800
percent test accuracy 0.610218763351, loop: 810
percent test accuracy 0.611718773842, loop: 820
percent test accuracy 0.611468732357, loop: 830
percent test accuracy 0.610781252384, loop: 840
percent test accuracy 0.612124979496, loop: 850
percent test accuracy 0.614062488079, loop: 860
percent test accuracy 0.616187512875, loop: 870
percent test accuracy 0.61581248045, loop: 880
percent test accuracy 0.616093754768, loop: 890
percent test accuracy 0.613968729973, loop: 900
percent test accuracy 0.616249978542, loop: 910
percent test accuracy 0.616843760014, loop: 920
percent test accuracy 0.620156228542, loop: 930
percent test accuracy 0.622187495232, loop: 940
percent test accuracy 0.621656239033, loop: 950
