percent test accuracy 0.336791664362, loop: 10
percent test accuracy 0.336854159832, loop: 20
percent test accuracy 0.337624996901, loop: 30
percent test accuracy 0.338270843029, loop: 40
percent test accuracy 0.33750000596, loop: 50
percent test accuracy 0.33785417676, loop: 60
percent test accuracy 0.337999999523, loop: 70
percent test accuracy 0.337666660547, loop: 80
percent test accuracy 0.338083326817, loop: 90
percent test accuracy 0.338812500238, loop: 100
percent test accuracy 0.339208334684, loop: 110
percent test accuracy 0.339374989271, loop: 120
percent test accuracy 0.339374989271, loop: 130
percent test accuracy 0.33979165554, loop: 140
percent test accuracy 0.340229153633, loop: 150
percent test accuracy 0.340312510729, loop: 160
percent test accuracy 0.341604173183, loop: 170
percent test accuracy 0.340833336115, loop: 180
percent test accuracy 0.341166675091, loop: 190
percent test accuracy 0.342229157686, loop: 200
percent test accuracy 0.342145830393, loop: 210
percent test accuracy 0.342395842075, loop: 220
percent test accuracy 0.342937499285, loop: 230
percent test accuracy 0.34356251359, loop: 240
percent test accuracy 0.343604177237, loop: 250
percent test accuracy 0.343895822763, loop: 260
percent test accuracy 0.344500005245, loop: 270
percent test accuracy 0.343958348036, loop: 280
percent test accuracy 0.343916654587, loop: 290
percent test accuracy 0.34375, loop: 300
percent test accuracy 0.343958348036, loop: 310
percent test accuracy 0.344000011683, loop: 320
percent test accuracy 0.344395846128, loop: 330
percent test accuracy 0.344937503338, loop: 340
percent test accuracy 0.344979166985, loop: 350
percent test accuracy 0.34525001049, loop: 360
percent test accuracy 0.345645844936, loop: 370
percent test accuracy 0.347229152918, loop: 380
percent test accuracy 0.346416652203, loop: 390
percent test accuracy 0.346749991179, loop: 400
percent test accuracy 0.347395837307, loop: 410
percent test accuracy 0.34777083993, loop: 420
percent test accuracy 0.348687499762, loop: 430
percent test accuracy 0.349187493324, loop: 440
percent test accuracy 0.349166661501, loop: 450
percent test accuracy 0.349500000477, loop: 460
percent test accuracy 0.348937511444, loop: 470
percent test accuracy 0.34964582324, loop: 480
percent test accuracy 0.349500000477, loop: 490
percent test accuracy 0.349500000477, loop: 500
percent test accuracy 0.349937498569, loop: 510
percent test accuracy 0.350291669369, loop: 520
percent test accuracy 0.350166678429, loop: 530
percent test accuracy 0.350729167461, loop: 540
percent test accuracy 0.351104170084, loop: 550
percent test accuracy 0.351062506437, loop: 560
percent test accuracy 0.351270824671, loop: 570
percent test accuracy 0.351208329201, loop: 580
percent test accuracy 0.351458340883, loop: 590
percent test accuracy 0.352479159832, loop: 600
percent test accuracy 0.352583318949, loop: 610
percent test accuracy 0.352833330631, loop: 620
percent test accuracy 0.352562487125, loop: 630
percent test accuracy 0.352833330631, loop: 640
percent test accuracy 0.352812498808, loop: 650
percent test accuracy 0.35306251049, loop: 660
percent test accuracy 0.353770822287, loop: 670
percent test accuracy 0.353979170322, loop: 680
percent test accuracy 0.354104161263, loop: 690
percent test accuracy 0.354937493801, loop: 700
percent test accuracy 0.354750007391, loop: 710
percent test accuracy 0.354937493801, loop: 720
percent test accuracy 0.355250000954, loop: 730
percent test accuracy 0.355541676283, loop: 740
percent test accuracy 0.355729162693, loop: 750
percent test accuracy 0.356124997139, loop: 760
percent test accuracy 0.356395840645, loop: 770
percent test accuracy 0.356333345175, loop: 780
percent test accuracy 0.357499986887, loop: 790
percent test accuracy 0.35787498951, loop: 800
percent test accuracy 0.358187496662, loop: 810
percent test accuracy 0.358145833015, loop: 820
percent test accuracy 0.358666658401, loop: 830
percent test accuracy 0.358312487602, loop: 840
percent test accuracy 0.358666658401, loop: 850
percent test accuracy 0.358875006437, loop: 860
percent test accuracy 0.359270840883, loop: 870
percent test accuracy 0.359104156494, loop: 880
percent test accuracy 0.359145820141, loop: 890
percent test accuracy 0.359416663647, loop: 900
percent test accuracy 0.359791666269, loop: 910
percent test accuracy 0.360000014305, loop: 920
percent test accuracy 0.360270828009, loop: 930
percent test accuracy 0.360812485218, loop: 940
percent test accuracy 0.361062496901, loop: 950
percent test accuracy 0.361062496901, loop: 960
percent test accuracy 0.36122918129, loop: 970
percent test accuracy 0.361458331347, loop: 980
percent test accuracy 0.361520826817, loop: 990
percent test accuracy 0.362208336592, loop: 1000
percent test accuracy 0.361979156733, loop: 1010
percent test accuracy 0.362166672945, loop: 1020
percent test accuracy 0.362083345652, loop: 1030
percent test accuracy 0.362437486649, loop: 1040
percent test accuracy 0.363312512636, loop: 1050
percent test accuracy 0.36352083087, loop: 1060
percent test accuracy 0.363062500954, loop: 1070
percent test accuracy 0.36358332634, loop: 1080
percent test accuracy 0.364229172468, loop: 1090
percent test accuracy 0.364083319902, loop: 1100
percent test accuracy 0.364187508821, loop: 1110
percent test accuracy 0.364229172468, loop: 1120
percent test accuracy 0.364499986172, loop: 1130
percent test accuracy 0.364937514067, loop: 1140
percent test accuracy 0.365854173899, loop: 1150
percent test accuracy 0.365729153156, loop: 1160
percent test accuracy 0.366020828485, loop: 1170
percent test accuracy 0.367020845413, loop: 1180
percent test accuracy 0.36706250906, loop: 1190
percent test accuracy 0.366583347321, loop: 1200
percent test accuracy 0.366750001907, loop: 1210
percent test accuracy 0.367083340883, loop: 1220
percent test accuracy 0.366708338261, loop: 1230
percent test accuracy 0.36731249094, loop: 1240
percent test accuracy 0.36731249094, loop: 1250
percent test accuracy 0.3671875, loop: 1260
percent test accuracy 0.368416666985, loop: 1270
percent test accuracy 0.368479162455, loop: 1280
percent test accuracy 0.36875000596, loop: 1290
percent test accuracy 0.369395822287, loop: 1300
percent test accuracy 0.369208335876, loop: 1310
percent test accuracy 0.369520843029, loop: 1320
percent test accuracy 0.36916667223, loop: 1330
percent test accuracy 0.36904168129, loop: 1340
percent test accuracy 0.369875013828, loop: 1350
percent test accuracy 0.370312511921, loop: 1360
percent test accuracy 0.371104180813, loop: 1370
