percent test accuracy 0.339249998331, loop: 10
percent test accuracy 0.344354152679, loop: 20
percent test accuracy 0.349229156971, loop: 30
percent test accuracy 0.354166656733, loop: 40
percent test accuracy 0.357104152441, loop: 50
percent test accuracy 0.362437486649, loop: 60
percent test accuracy 0.365375012159, loop: 70
percent test accuracy 0.369395822287, loop: 80
percent test accuracy 0.374354153872, loop: 90
percent test accuracy 0.377395838499, loop: 100
percent test accuracy 0.380979180336, loop: 110
percent test accuracy 0.383479177952, loop: 120
percent test accuracy 0.386520832777, loop: 130
percent test accuracy 0.386687487364, loop: 140
percent test accuracy 0.390166670084, loop: 150
percent test accuracy 0.394020825624, loop: 160
percent test accuracy 0.39633333683, loop: 170
percent test accuracy 0.400458335876, loop: 180
percent test accuracy 0.401666671038, loop: 190
percent test accuracy 0.404729157686, loop: 200
percent test accuracy 0.406979173422, loop: 210
percent test accuracy 0.406958341599, loop: 220
percent test accuracy 0.409437507391, loop: 230
percent test accuracy 0.408895820379, loop: 240
percent test accuracy 0.410562485456, loop: 250
percent test accuracy 0.412229180336, loop: 260
percent test accuracy 0.413041681051, loop: 270
percent test accuracy 0.414437502623, loop: 280
percent test accuracy 0.41616666317, loop: 290
percent test accuracy 0.422749996185, loop: 300
percent test accuracy 0.421458333731, loop: 310
percent test accuracy 0.422854155302, loop: 320
percent test accuracy 0.424312502146, loop: 330
percent test accuracy 0.424312502146, loop: 340
percent test accuracy 0.426187485456, loop: 350
percent test accuracy 0.428458333015, loop: 360
percent test accuracy 0.428541660309, loop: 370
percent test accuracy 0.428854167461, loop: 380
percent test accuracy 0.431145846844, loop: 390
percent test accuracy 0.431041657925, loop: 400
percent test accuracy 0.428854167461, loop: 410
percent test accuracy 0.432354152203, loop: 420
percent test accuracy 0.432354152203, loop: 430
percent test accuracy 0.4296875, loop: 440
percent test accuracy 0.433395832777, loop: 450
percent test accuracy 0.437166661024, loop: 460
percent test accuracy 0.438708335161, loop: 470
