percent test accuracy 0.34948644042, loop: 10
percent test accuracy 0.358965814114, loop: 20
percent test accuracy 0.366653472185, loop: 30
percent test accuracy 0.370278537273, loop: 40
percent test accuracy 0.374445289373, loop: 50
percent test accuracy 0.37727868557, loop: 60
percent test accuracy 0.383841335773, loop: 70
percent test accuracy 0.385820537806, loop: 80
percent test accuracy 0.389570623636, loop: 90
percent test accuracy 0.388570606709, loop: 100
percent test accuracy 0.391966491938, loop: 110
percent test accuracy 0.39340403676, loop: 120
percent test accuracy 0.394820719957, loop: 130
percent test accuracy 0.398174971342, loop: 140
percent test accuracy 0.400779187679, loop: 150
percent test accuracy 0.404175072908, loop: 160
percent test accuracy 0.404800087214, loop: 170
percent test accuracy 0.405508458614, loop: 180
percent test accuracy 0.406175136566, loop: 190
percent test accuracy 0.407841831446, loop: 200
percent test accuracy 0.408216834068, loop: 210
percent test accuracy 0.412383586168, loop: 220
percent test accuracy 0.413071095943, loop: 230
percent test accuracy 0.415571153164, loop: 240
percent test accuracy 0.414987802505, loop: 250
percent test accuracy 0.413404434919, loop: 260
percent test accuracy 0.415654480457, loop: 270
percent test accuracy 0.418008714914, loop: 280
percent test accuracy 0.417362868786, loop: 290
percent test accuracy 0.419029563665, loop: 300
percent test accuracy 0.417987883091, loop: 310
percent test accuracy 0.41988375783, loop: 320
percent test accuracy 0.42000874877, loop: 330
percent test accuracy 0.423217147589, loop: 340
percent test accuracy 0.422154635191, loop: 350
percent test accuracy 0.422800481319, loop: 360
percent test accuracy 0.42369633913, loop: 370
percent test accuracy 0.423904657364, loop: 380
percent test accuracy 0.425342202187, loop: 390
percent test accuracy 0.42661306262, loop: 400
percent test accuracy 0.425904721022, loop: 410
percent test accuracy 0.428092241287, loop: 420
percent test accuracy 0.428029745817, loop: 430
percent test accuracy 0.431988179684, loop: 440
percent test accuracy 0.432738184929, loop: 450
percent test accuracy 0.434988230467, loop: 460
percent test accuracy 0.430404812098, loop: 470
percent test accuracy 0.432946532965, loop: 480
percent test accuracy 0.434509038925, loop: 490
percent test accuracy 0.435884088278, loop: 500
percent test accuracy 0.437217444181, loop: 510
percent test accuracy 0.435696572065, loop: 520
percent test accuracy 0.437029927969, loop: 530
percent test accuracy 0.436509102583, loop: 540
percent test accuracy 0.436029911041, loop: 550
percent test accuracy 0.440675854683, loop: 560
percent test accuracy 0.440196663141, loop: 570
percent test accuracy 0.4407800138, loop: 580
percent test accuracy 0.443905085325, loop: 590
percent test accuracy 0.441634207964, loop: 600
percent test accuracy 0.440342515707, loop: 610
percent test accuracy 0.441342532635, loop: 620
percent test accuracy 0.444571763277, loop: 630
percent test accuracy 0.444780111313, loop: 640
percent test accuracy 0.445030093193, loop: 650
percent test accuracy 0.443530082703, loop: 660
percent test accuracy 0.441300868988, loop: 670
percent test accuracy 0.445613443851, loop: 680
percent test accuracy 0.446967631578, loop: 690
percent test accuracy 0.44453009963, loop: 700
percent test accuracy 0.445113450289, loop: 710
percent test accuracy 0.448196828365, loop: 720
percent test accuracy 0.450634390116, loop: 730
percent test accuracy 0.452509433031, loop: 740
percent test accuracy 0.453634440899, loop: 750
percent test accuracy 0.451696902514, loop: 760
percent test accuracy 0.452280253172, loop: 770
percent test accuracy 0.453738629818, loop: 780
percent test accuracy 0.455071985722, loop: 790
percent test accuracy 0.451801091433, loop: 800
percent test accuracy 0.451176077127, loop: 810
percent test accuracy 0.453301101923, loop: 820
percent test accuracy 0.453488618135, loop: 830
percent test accuracy 0.455405324697, loop: 840
percent test accuracy 0.455113649368, loop: 850
percent test accuracy 0.456280350685, loop: 860
percent test accuracy 0.4574470222, loop: 870
percent test accuracy 0.456092834473, loop: 880
percent test accuracy 0.45869705081, loop: 890
percent test accuracy 0.458530396223, loop: 900
percent test accuracy 0.461738795042, loop: 910
percent test accuracy 0.462426304817, loop: 920
percent test accuracy 0.456655353308, loop: 930
percent test accuracy 0.458738714457, loop: 940
percent test accuracy 0.461092948914, loop: 950
percent test accuracy 0.461967945099, loop: 960
percent test accuracy 0.459738731384, loop: 970
percent test accuracy 0.457842886448, loop: 980
percent test accuracy 0.458926230669, loop: 990
percent test accuracy 0.461426287889, loop: 1000
percent test accuracy 0.460926264524, loop: 1010
percent test accuracy 0.459384560585, loop: 1020
percent test accuracy 0.464155495167, loop: 1030
percent test accuracy 0.462447136641, loop: 1040
percent test accuracy 0.463092982769, loop: 1050
percent test accuracy 0.461780458689, loop: 1060
percent test accuracy 0.465259701014, loop: 1070
percent test accuracy 0.464009672403, loop: 1080
percent test accuracy 0.464530497789, loop: 1090
percent test accuracy 0.463509649038, loop: 1100
percent test accuracy 0.467322230339, loop: 1110
percent test accuracy 0.464676350355, loop: 1120
percent test accuracy 0.464197158813, loop: 1130
percent test accuracy 0.469176441431, loop: 1140
percent test accuracy 0.468238919973, loop: 1150
percent test accuracy 0.463447153568, loop: 1160
percent test accuracy 0.467113912106, loop: 1170
percent test accuracy 0.471551477909, loop: 1180
percent test accuracy 0.469176441431, loop: 1190
percent test accuracy 0.473468184471, loop: 1200
percent test accuracy 0.472176492214, loop: 1210
percent test accuracy 0.473614037037, loop: 1220
percent test accuracy 0.468134760857, loop: 1230
percent test accuracy 0.471405655146, loop: 1240
percent test accuracy 0.471218138933, loop: 1250
percent test accuracy 0.472572356462, loop: 1260
percent test accuracy 0.471343159676, loop: 1270
percent test accuracy 0.476030737162, loop: 1280
percent test accuracy 0.47648909688, loop: 1290
percent test accuracy 0.476697444916, loop: 1300
percent test accuracy 0.472884863615, loop: 1310
percent test accuracy 0.476051598787, loop: 1320
percent test accuracy 0.475530743599, loop: 1330
percent test accuracy 0.477426618338, loop: 1340
percent test accuracy 0.476030737162, loop: 1350
percent test accuracy 0.475718230009, loop: 1360
