percent test accuracy 0.510140955448, loop: 10
percent test accuracy 0.548110902309, loop: 20
percent test accuracy 0.580736875534, loop: 30
percent test accuracy 0.6021438241, loop: 40
percent test accuracy 0.624707043171, loop: 50
percent test accuracy 0.639301240444, loop: 60
percent test accuracy 0.653051674366, loop: 70
percent test accuracy 0.666302084923, loop: 80
percent test accuracy 0.677833676338, loop: 90
percent test accuracy 0.687302708626, loop: 100
percent test accuracy 0.696896791458, loop: 110
percent test accuracy 0.704553246498, loop: 120
percent test accuracy 0.709740936756, loop: 130
percent test accuracy 0.716178655624, loop: 140
percent test accuracy 0.722991347313, loop: 150
percent test accuracy 0.729616522789, loop: 160
percent test accuracy 0.734460473061, loop: 170
percent test accuracy 0.73961687088, loop: 180
percent test accuracy 0.742148220539, loop: 190
percent test accuracy 0.746460855007, loop: 200
percent test accuracy 0.751242220402, loop: 210
percent test accuracy 0.755648612976, loop: 220
percent test accuracy 0.75905495882, loop: 230
percent test accuracy 0.760523796082, loop: 240
percent test accuracy 0.764648914337, loop: 250
percent test accuracy 0.765992701054, loop: 260
percent test accuracy 0.767711520195, loop: 270
percent test accuracy 0.771211624146, loop: 280
percent test accuracy 0.772961676121, loop: 290
percent test accuracy 0.775492966175, loop: 300
percent test accuracy 0.777461767197, loop: 310
percent test accuracy 0.779180586338, loop: 320
percent test accuracy 0.780118107796, loop: 330
percent test accuracy 0.781618177891, loop: 340
percent test accuracy 0.782399475574, loop: 350
percent test accuracy 0.78577452898, loop: 360
percent test accuracy 0.787149608135, loop: 370
percent test accuracy 0.787993371487, loop: 380
percent test accuracy 0.788712143898, loop: 390
percent test accuracy 0.791149735451, loop: 400
percent test accuracy 0.79280602932, loop: 410
percent test accuracy 0.794681072235, loop: 420
percent test accuracy 0.7951810956, loop: 430
percent test accuracy 0.797118663788, loop: 440
percent test accuracy 0.798149943352, loop: 450
percent test accuracy 0.799743771553, loop: 460
percent test accuracy 0.802118837833, loop: 470
percent test accuracy 0.805181384087, loop: 480
percent test accuracy 0.805775165558, loop: 490
percent test accuracy 0.807212710381, loop: 500
percent test accuracy 0.808650255203, loop: 510
percent test accuracy 0.808556497097, loop: 520
percent test accuracy 0.809119045734, loop: 530
percent test accuracy 0.811275362968, loop: 540
percent test accuracy 0.81186914444, loop: 550
percent test accuracy 0.813212931156, loop: 560
