percent test accuracy 0.540319263935, loop: 10
percent test accuracy 0.571057140827, loop: 20
percent test accuracy 0.58566981554, loop: 30
percent test accuracy 0.596632480621, loop: 40
percent test accuracy 0.607182562351, loop: 50
percent test accuracy 0.612420141697, loop: 60
percent test accuracy 0.618832707405, loop: 70
percent test accuracy 0.628307878971, loop: 80
percent test accuracy 0.635970473289, loop: 90
percent test accuracy 0.63983297348, loop: 100
percent test accuracy 0.642970561981, loop: 110
percent test accuracy 0.644820570946, loop: 120
percent test accuracy 0.646645605564, loop: 130
percent test accuracy 0.65162062645, loop: 140
percent test accuracy 0.65348315239, loop: 150
percent test accuracy 0.656433224678, loop: 160
percent test accuracy 0.661845743656, loop: 170
percent test accuracy 0.663820803165, loop: 180
percent test accuracy 0.667308330536, loop: 190
percent test accuracy 0.668983340263, loop: 200
percent test accuracy 0.668645858765, loop: 210
percent test accuracy 0.672595918179, loop: 220
percent test accuracy 0.676083445549, loop: 230
percent test accuracy 0.677633464336, loop: 240
percent test accuracy 0.679008483887, loop: 250
percent test accuracy 0.679258465767, loop: 260
percent test accuracy 0.684908568859, loop: 270
percent test accuracy 0.684908568859, loop: 280
percent test accuracy 0.685271084309, loop: 290
percent test accuracy 0.688246130943, loop: 300
percent test accuracy 0.69038361311, loop: 310
percent test accuracy 0.692658662796, loop: 320
percent test accuracy 0.69089615345, loop: 330
percent test accuracy 0.689871132374, loop: 340
percent test accuracy 0.695171177387, loop: 350
percent test accuracy 0.697308719158, loop: 360
percent test accuracy 0.698583722115, loop: 370
percent test accuracy 0.69808369875, loop: 380
percent test accuracy 0.700321257114, loop: 390
percent test accuracy 0.702558755875, loop: 400
percent test accuracy 0.702108800411, loop: 410
percent test accuracy 0.703996300697, loop: 420
percent test accuracy 0.703258812428, loop: 430
percent test accuracy 0.704871296883, loop: 440
percent test accuracy 0.704871296883, loop: 450
percent test accuracy 0.706508815289, loop: 460
percent test accuracy 0.706746339798, loop: 470
percent test accuracy 0.707533836365, loop: 480
percent test accuracy 0.709258854389, loop: 490
percent test accuracy 0.711221396923, loop: 500
percent test accuracy 0.710433900356, loop: 510
percent test accuracy 0.709671378136, loop: 520
percent test accuracy 0.711871385574, loop: 530
percent test accuracy 0.713496446609, loop: 540
percent test accuracy 0.712983906269, loop: 550
percent test accuracy 0.711208879948, loop: 560
percent test accuracy 0.713808894157, loop: 570
percent test accuracy 0.714496433735, loop: 580
percent test accuracy 0.716433942318, loop: 590
percent test accuracy 0.716808974743, loop: 600
percent test accuracy 0.718071460724, loop: 610
percent test accuracy 0.718621492386, loop: 620
percent test accuracy 0.717271447182, loop: 630
percent test accuracy 0.718571484089, loop: 640
percent test accuracy 0.716996490955, loop: 650
percent test accuracy 0.718246459961, loop: 660
percent test accuracy 0.720996499062, loop: 670
percent test accuracy 0.721821546555, loop: 680
percent test accuracy 0.72330904007, loop: 690
percent test accuracy 0.72147154808, loop: 700
percent test accuracy 0.722359001637, loop: 710
percent test accuracy 0.721484005451, loop: 720
percent test accuracy 0.723234057426, loop: 730
percent test accuracy 0.724046528339, loop: 740
percent test accuracy 0.725246548653, loop: 750
percent test accuracy 0.725071549416, loop: 760
percent test accuracy 0.726884067059, loop: 770
percent test accuracy 0.727334082127, loop: 780
percent test accuracy 0.72730910778, loop: 790
percent test accuracy 0.728821635246, loop: 800
percent test accuracy 0.729034125805, loop: 810
percent test accuracy 0.730671644211, loop: 820
percent test accuracy 0.731559157372, loop: 830
percent test accuracy 0.731784164906, loop: 840
percent test accuracy 0.731184124947, loop: 850
percent test accuracy 0.731421649456, loop: 860
percent test accuracy 0.731659173965, loop: 870
percent test accuracy 0.73200917244, loop: 880
percent test accuracy 0.732446670532, loop: 890
percent test accuracy 0.732921659946, loop: 900
percent test accuracy 0.733109176159, loop: 910
percent test accuracy 0.729409098625, loop: 920
percent test accuracy 0.733609199524, loop: 930
percent test accuracy 0.733521640301, loop: 940
percent test accuracy 0.733246684074, loop: 950
percent test accuracy 0.73338419199, loop: 960
percent test accuracy 0.735334217548, loop: 970
percent test accuracy 0.735321700573, loop: 980
percent test accuracy 0.73610919714, loop: 990
percent test accuracy 0.736184179783, loop: 1000
percent test accuracy 0.736534178257, loop: 1010
percent test accuracy 0.736684203148, loop: 1020
percent test accuracy 0.737134218216, loop: 1030
percent test accuracy 0.737546741962, loop: 1040
percent test accuracy 0.737996697426, loop: 1050
percent test accuracy 0.738584220409, loop: 1060
percent test accuracy 0.739121735096, loop: 1070
percent test accuracy 0.739846765995, loop: 1080
percent test accuracy 0.739921748638, loop: 1090
percent test accuracy 0.740771770477, loop: 1100
percent test accuracy 0.741384267807, loop: 1110
percent test accuracy 0.741921782494, loop: 1120
percent test accuracy 0.742409288883, loop: 1130
percent test accuracy 0.740821778774, loop: 1140
percent test accuracy 0.742471754551, loop: 1150
percent test accuracy 0.741471767426, loop: 1160
percent test accuracy 0.742096781731, loop: 1170
