percent test accuracy 0.500031352043, loop: 10
percent test accuracy 0.508022069931, loop: 20
percent test accuracy 0.51062297821, loop: 30
percent test accuracy 0.515292048454, loop: 40
percent test accuracy 0.51322388649, loop: 50
percent test accuracy 0.513881921768, loop: 60
percent test accuracy 0.509808242321, loop: 70
percent test accuracy 0.515950083733, loop: 80
percent test accuracy 0.515950083733, loop: 90
percent test accuracy 0.517579615116, loop: 100
percent test accuracy 0.508993506432, loop: 110
percent test accuracy 0.510748326778, loop: 120
percent test accuracy 0.51670217514, loop: 130
percent test accuracy 0.523658812046, loop: 140
percent test accuracy 0.519553780556, loop: 150
percent test accuracy 0.518049657345, loop: 160
percent test accuracy 0.508899450302, loop: 170
percent test accuracy 0.510716974735, loop: 180
percent test accuracy 0.519679129124, loop: 190
percent test accuracy 0.510842323303, loop: 200
percent test accuracy 0.519992470741, loop: 210
percent test accuracy 0.516733527184, loop: 220
percent test accuracy 0.521057903767, loop: 230
percent test accuracy 0.512283802032, loop: 240
percent test accuracy 0.516733527184, loop: 250
percent test accuracy 0.519428431988, loop: 260
percent test accuracy 0.517422914505, loop: 270
percent test accuracy 0.507269978523, loop: 280
percent test accuracy 0.516420125961, loop: 290
percent test accuracy 0.523157417774, loop: 300
percent test accuracy 0.513599872589, loop: 310
percent test accuracy 0.520650565624, loop: 320
percent test accuracy 0.517360270023, loop: 330
percent test accuracy 0.507207334042, loop: 340
percent test accuracy 0.517422914505, loop: 350
percent test accuracy 0.51848834753, loop: 360
percent test accuracy 0.519522428513, loop: 370
percent test accuracy 0.515135347843, loop: 380
percent test accuracy 0.513725221157, loop: 390
percent test accuracy 0.519459784031, loop: 400
percent test accuracy 0.523564815521, loop: 410
percent test accuracy 0.519052386284, loop: 420
percent test accuracy 0.521653294563, loop: 430
percent test accuracy 0.519961118698, loop: 440
percent test accuracy 0.520963907242, loop: 450
percent test accuracy 0.520055174828, loop: 460
percent test accuracy 0.516012787819, loop: 470
percent test accuracy 0.510309576988, loop: 480
percent test accuracy 0.513380527496, loop: 490
percent test accuracy 0.511845052242, loop: 500
percent test accuracy 0.516420125961, loop: 510
percent test accuracy 0.513067185879, loop: 520
percent test accuracy 0.534281790257, loop: 530
percent test accuracy 0.528014540672, loop: 540
percent test accuracy 0.516138136387, loop: 550
percent test accuracy 0.517579615116, loop: 560
percent test accuracy 0.515950083733, loop: 570
percent test accuracy 0.525570333004, loop: 580
percent test accuracy 0.515699446201, loop: 590
percent test accuracy 0.516796171665, loop: 600
percent test accuracy 0.501222133636, loop: 610
percent test accuracy 0.523627460003, loop: 620
percent test accuracy 0.522374033928, loop: 630
percent test accuracy 0.525789678097, loop: 640
percent test accuracy 0.510560274124, loop: 650
percent test accuracy 0.51554274559, loop: 660
percent test accuracy 0.512127101421, loop: 670
percent test accuracy 0.506956636906, loop: 680
percent test accuracy 0.524316847324, loop: 690
percent test accuracy 0.520211815834, loop: 700
percent test accuracy 0.521371245384, loop: 710
percent test accuracy 0.518927037716, loop: 720
percent test accuracy 0.507175981998, loop: 730
percent test accuracy 0.519177734852, loop: 740
percent test accuracy 0.516326129436, loop: 750
percent test accuracy 0.527983188629, loop: 760
percent test accuracy 0.516921520233, loop: 770
percent test accuracy 0.515386044979, loop: 780
percent test accuracy 0.52716845274, loop: 790
percent test accuracy 0.525538980961, loop: 800
percent test accuracy 0.522374033928, loop: 810
percent test accuracy 0.51751691103, loop: 820
percent test accuracy 0.524410903454, loop: 830
percent test accuracy 0.522154688835, loop: 840
percent test accuracy 0.525977671146, loop: 850
percent test accuracy 0.528359234333, loop: 860
percent test accuracy 0.513286530972, loop: 870
percent test accuracy 0.503885686398, loop: 880
percent test accuracy 0.520337164402, loop: 890
percent test accuracy 0.519397079945, loop: 900
percent test accuracy 0.511594355106, loop: 910
percent test accuracy 0.511751055717, loop: 920
percent test accuracy 0.519240438938, loop: 930
percent test accuracy 0.52162194252, loop: 940
percent test accuracy 0.528077185154, loop: 950
percent test accuracy 0.513255178928, loop: 960
percent test accuracy 0.527857840061, loop: 970
percent test accuracy 0.527199804783, loop: 980
percent test accuracy 0.522656083107, loop: 990
percent test accuracy 0.516608178616, loop: 1000
percent test accuracy 0.515229403973, loop: 1010
percent test accuracy 0.531367540359, loop: 1020
percent test accuracy 0.517485558987, loop: 1030
percent test accuracy 0.50733268261, loop: 1040
percent test accuracy 0.512847840786, loop: 1050
percent test accuracy 0.516482830048, loop: 1060
percent test accuracy 0.502632260323, loop: 1070
percent test accuracy 0.516921520233, loop: 1080
percent test accuracy 0.519741773605, loop: 1090
percent test accuracy 0.5124091506, loop: 1100
percent test accuracy 0.517798960209, loop: 1110
percent test accuracy 0.510340929031, loop: 1120
percent test accuracy 0.534156441689, loop: 1130
percent test accuracy 0.521371245384, loop: 1140
percent test accuracy 0.520556509495, loop: 1150
percent test accuracy 0.52895462513, loop: 1160
percent test accuracy 0.507552027702, loop: 1170
percent test accuracy 0.518394351006, loop: 1180
percent test accuracy 0.499529957771, loop: 1190
percent test accuracy 0.520932555199, loop: 1200
percent test accuracy 0.518175005913, loop: 1210
percent test accuracy 0.514320611954, loop: 1220
percent test accuracy 0.515574097633, loop: 1230
percent test accuracy 0.52171599865, loop: 1240
percent test accuracy 0.508617460728, loop: 1250
percent test accuracy 0.512910485268, loop: 1260
percent test accuracy 0.508554756641, loop: 1270
percent test accuracy 0.513975918293, loop: 1280
percent test accuracy 0.527607142925, loop: 1290
percent test accuracy 0.51491600275, loop: 1300
percent test accuracy 0.524442195892, loop: 1310
percent test accuracy 0.527011811733, loop: 1320
percent test accuracy 0.526103019714, loop: 1330
percent test accuracy 0.503917038441, loop: 1340
percent test accuracy 0.503039598465, loop: 1350
percent test accuracy 0.529675364494, loop: 1360
percent test accuracy 0.502099514008, loop: 1370
percent test accuracy 0.514101266861, loop: 1380
percent test accuracy 0.526698410511, loop: 1390
percent test accuracy 0.511500358582, loop: 1400
percent test accuracy 0.521778643131, loop: 1410
percent test accuracy 0.527387797832, loop: 1420
percent test accuracy 0.516984224319, loop: 1430
percent test accuracy 0.520838558674, loop: 1440
percent test accuracy 0.513819277287, loop: 1450
percent test accuracy 0.500908732414, loop: 1460
percent test accuracy 0.517454266548, loop: 1470
percent test accuracy 0.527074456215, loop: 1480
percent test accuracy 0.511907756329, loop: 1490
percent test accuracy 0.507175981998, loop: 1500
percent test accuracy 0.517078220844, loop: 1510
percent test accuracy 0.517798960209, loop: 1520
percent test accuracy 0.529205322266, loop: 1530
percent test accuracy 0.516294836998, loop: 1540
percent test accuracy 0.518080949783, loop: 1550
percent test accuracy 0.495393574238, loop: 1560
percent test accuracy 0.519679129124, loop: 1570
percent test accuracy 0.509118855, loop: 1580
percent test accuracy 0.513411879539, loop: 1590
percent test accuracy 0.528703927994, loop: 1600
percent test accuracy 0.510654270649, loop: 1610
percent test accuracy 0.522091984749, loop: 1620
percent test accuracy 0.518801689148, loop: 1630
percent test accuracy 0.51911509037, loop: 1640
percent test accuracy 0.512910485268, loop: 1650
percent test accuracy 0.523502111435, loop: 1660
percent test accuracy 0.533341705799, loop: 1670
percent test accuracy 0.511845052242, loop: 1680
percent test accuracy 0.510873675346, loop: 1690
percent test accuracy 0.507363975048, loop: 1700
percent test accuracy 0.4937954247, loop: 1710
percent test accuracy 0.5127851367, loop: 1720
percent test accuracy 0.518582344055, loop: 1730
percent test accuracy 0.523188769817, loop: 1740
percent test accuracy 0.518833041191, loop: 1750
percent test accuracy 0.532714962959, loop: 1760
percent test accuracy 0.512534499168, loop: 1770
