percent test accuracy 0.512762486935, loop: 10
percent test accuracy 0.520224988461, loop: 20
percent test accuracy 0.523487508297, loop: 30
percent test accuracy 0.525150001049, loop: 40
percent test accuracy 0.526887476444, loop: 50
percent test accuracy 0.531187474728, loop: 60
percent test accuracy 0.531674981117, loop: 70
percent test accuracy 0.532837510109, loop: 80
percent test accuracy 0.534362494946, loop: 90
percent test accuracy 0.535749971867, loop: 100
percent test accuracy 0.537237524986, loop: 110
percent test accuracy 0.538362503052, loop: 120
percent test accuracy 0.537874996662, loop: 130
percent test accuracy 0.537225008011, loop: 140
percent test accuracy 0.536450028419, loop: 150
percent test accuracy 0.537762522697, loop: 160
percent test accuracy 0.537625014782, loop: 170
percent test accuracy 0.538625001907, loop: 180
percent test accuracy 0.537850022316, loop: 190
percent test accuracy 0.539562523365, loop: 200
percent test accuracy 0.541674971581, loop: 210
percent test accuracy 0.542462527752, loop: 220
percent test accuracy 0.543824970722, loop: 230
percent test accuracy 0.543550014496, loop: 240
percent test accuracy 0.542124986649, loop: 250
percent test accuracy 0.544000029564, loop: 260
percent test accuracy 0.544525027275, loop: 270
percent test accuracy 0.544962525368, loop: 280
percent test accuracy 0.543462514877, loop: 290
percent test accuracy 0.542824983597, loop: 300
percent test accuracy 0.543749988079, loop: 310
percent test accuracy 0.542275011539, loop: 320
percent test accuracy 0.54203748703, loop: 330
percent test accuracy 0.544787526131, loop: 340
percent test accuracy 0.546050012112, loop: 350
percent test accuracy 0.545612514019, loop: 360
percent test accuracy 0.546862483025, loop: 370
percent test accuracy 0.546150028706, loop: 380
percent test accuracy 0.546474993229, loop: 390
percent test accuracy 0.545162498951, loop: 400
percent test accuracy 0.547074973583, loop: 410
percent test accuracy 0.547625005245, loop: 420
percent test accuracy 0.546800017357, loop: 430
percent test accuracy 0.547912478447, loop: 440
percent test accuracy 0.548562526703, loop: 450
percent test accuracy 0.549987494946, loop: 460
percent test accuracy 0.551524996758, loop: 470
percent test accuracy 0.551925003529, loop: 480
percent test accuracy 0.552537500858, loop: 490
percent test accuracy 0.552999973297, loop: 500
percent test accuracy 0.552187502384, loop: 510
percent test accuracy 0.553449988365, loop: 520
percent test accuracy 0.553224980831, loop: 530
percent test accuracy 0.55269998312, loop: 540
percent test accuracy 0.551912486553, loop: 550
percent test accuracy 0.55269998312, loop: 560
percent test accuracy 0.552412509918, loop: 570
percent test accuracy 0.553550004959, loop: 580
percent test accuracy 0.554487526417, loop: 590
percent test accuracy 0.553799986839, loop: 600
percent test accuracy 0.554912507534, loop: 610
percent test accuracy 0.555975019932, loop: 620
percent test accuracy 0.557624995708, loop: 630
percent test accuracy 0.557337522507, loop: 640
percent test accuracy 0.557325005531, loop: 650
percent test accuracy 0.557924985886, loop: 660
percent test accuracy 0.557624995708, loop: 670
percent test accuracy 0.558350026608, loop: 680
percent test accuracy 0.558187484741, loop: 690
percent test accuracy 0.557687520981, loop: 700
percent test accuracy 0.557449996471, loop: 710
percent test accuracy 0.559424996376, loop: 720
percent test accuracy 0.558987498283, loop: 730
percent test accuracy 0.559024989605, loop: 740
percent test accuracy 0.560587525368, loop: 750
percent test accuracy 0.561337471008, loop: 760
percent test accuracy 0.562062501907, loop: 770
percent test accuracy 0.56163752079, loop: 780
percent test accuracy 0.561474978924, loop: 790
percent test accuracy 0.562099993229, loop: 800
percent test accuracy 0.561424970627, loop: 810
percent test accuracy 0.562287509441, loop: 820
percent test accuracy 0.562687516212, loop: 830
percent test accuracy 0.562600016594, loop: 840
percent test accuracy 0.563762485981, loop: 850
percent test accuracy 0.564162492752, loop: 860
percent test accuracy 0.564512491226, loop: 870
percent test accuracy 0.566399991512, loop: 880
percent test accuracy 0.565237522125, loop: 890
percent test accuracy 0.565437495708, loop: 900
percent test accuracy 0.568024992943, loop: 910
percent test accuracy 0.568225026131, loop: 920
percent test accuracy 0.567624986172, loop: 930
percent test accuracy 0.5679500103, loop: 940
percent test accuracy 0.570237517357, loop: 950
percent test accuracy 0.568974971771, loop: 960
percent test accuracy 0.569612503052, loop: 970
percent test accuracy 0.569800019264, loop: 980
percent test accuracy 0.569987475872, loop: 990
percent test accuracy 0.570450007915, loop: 1000
percent test accuracy 0.570550024509, loop: 1010
percent test accuracy 0.571550011635, loop: 1020
percent test accuracy 0.5716624856, loop: 1030
percent test accuracy 0.570712506771, loop: 1040
percent test accuracy 0.571650028229, loop: 1050
percent test accuracy 0.571799993515, loop: 1060
percent test accuracy 0.572049975395, loop: 1070
percent test accuracy 0.572712481022, loop: 1080
percent test accuracy 0.572587490082, loop: 1090
percent test accuracy 0.573475003242, loop: 1100
percent test accuracy 0.574424982071, loop: 1110
percent test accuracy 0.575437486172, loop: 1120
percent test accuracy 0.57552498579, loop: 1130
percent test accuracy 0.57662498951, loop: 1140
percent test accuracy 0.576712489128, loop: 1150
percent test accuracy 0.577537477016, loop: 1160
percent test accuracy 0.578212499619, loop: 1170
percent test accuracy 0.576812505722, loop: 1180
percent test accuracy 0.578787505627, loop: 1190
percent test accuracy 0.579137504101, loop: 1200
percent test accuracy 0.579412519932, loop: 1210
percent test accuracy 0.57959997654, loop: 1220
percent test accuracy 0.579949975014, loop: 1230
percent test accuracy 0.58060002327, loop: 1240
percent test accuracy 0.580162525177, loop: 1250
percent test accuracy 0.579450011253, loop: 1260
percent test accuracy 0.578225016594, loop: 1270
percent test accuracy 0.579037487507, loop: 1280
percent test accuracy 0.579562485218, loop: 1290
percent test accuracy 0.578387498856, loop: 1300
percent test accuracy 0.581387519836, loop: 1310
percent test accuracy 0.58247500658, loop: 1320
percent test accuracy 0.582487523556, loop: 1330
percent test accuracy 0.58235001564, loop: 1340
percent test accuracy 0.583037495613, loop: 1350
percent test accuracy 0.583737492561, loop: 1360
percent test accuracy 0.58370000124, loop: 1370
percent test accuracy 0.583850026131, loop: 1380
percent test accuracy 0.584824979305, loop: 1390
percent test accuracy 0.585224986076, loop: 1400
percent test accuracy 0.584762513638, loop: 1410
percent test accuracy 0.585675001144, loop: 1420
percent test accuracy 0.586512506008, loop: 1430
percent test accuracy 0.584924995899, loop: 1440
percent test accuracy 0.585962474346, loop: 1450
percent test accuracy 0.584375023842, loop: 1460
percent test accuracy 0.584850013256, loop: 1470
percent test accuracy 0.584999978542, loop: 1480
percent test accuracy 0.587475001812, loop: 1490
percent test accuracy 0.587350010872, loop: 1500
percent test accuracy 0.588900029659, loop: 1510
percent test accuracy 0.589550018311, loop: 1520
percent test accuracy 0.588887512684, loop: 1530
percent test accuracy 0.589462518692, loop: 1540
percent test accuracy 0.589999973774, loop: 1550
percent test accuracy 0.589474976063, loop: 1560
percent test accuracy 0.589437484741, loop: 1570
percent test accuracy 0.591312527657, loop: 1580
percent test accuracy 0.592437505722, loop: 1590
percent test accuracy 0.592062473297, loop: 1600
percent test accuracy 0.592925012112, loop: 1610
percent test accuracy 0.59337502718, loop: 1620
percent test accuracy 0.592737495899, loop: 1630
percent test accuracy 0.593062520027, loop: 1640
percent test accuracy 0.594162523746, loop: 1650
percent test accuracy 0.593699991703, loop: 1660
percent test accuracy 0.593862473965, loop: 1670
percent test accuracy 0.594862520695, loop: 1680
percent test accuracy 0.594262480736, loop: 1690
percent test accuracy 0.594887495041, loop: 1700
percent test accuracy 0.595587491989, loop: 1710
percent test accuracy 0.595075011253, loop: 1720
percent test accuracy 0.596212506294, loop: 1730
percent test accuracy 0.597500026226, loop: 1740
percent test accuracy 0.597275018692, loop: 1750
percent test accuracy 0.596737504005, loop: 1760
percent test accuracy 0.596662521362, loop: 1770
percent test accuracy 0.597137510777, loop: 1780
percent test accuracy 0.597312510014, loop: 1790
percent test accuracy 0.598675012589, loop: 1800
percent test accuracy 0.597150027752, loop: 1810
percent test accuracy 0.597037494183, loop: 1820
percent test accuracy 0.599862515926, loop: 1830
percent test accuracy 0.599262475967, loop: 1840
percent test accuracy 0.597824990749, loop: 1850
percent test accuracy 0.599237501621, loop: 1860
percent test accuracy 0.598924994469, loop: 1870
percent test accuracy 0.598262488842, loop: 1880
percent test accuracy 0.600162506104, loop: 1890
percent test accuracy 0.600674986839, loop: 1900
percent test accuracy 0.60131251812, loop: 1910
percent test accuracy 0.600199997425, loop: 1920
percent test accuracy 0.601599991322, loop: 1930
percent test accuracy 0.601037502289, loop: 1940
percent test accuracy 0.599524974823, loop: 1950
percent test accuracy 0.600549995899, loop: 1960
percent test accuracy 0.601575016975, loop: 1970
percent test accuracy 0.600775003433, loop: 1980
percent test accuracy 0.602975010872, loop: 1990
percent test accuracy 0.602725028992, loop: 2000
percent test accuracy 0.602712512016, loop: 2010
percent test accuracy 0.604312479496, loop: 2020
percent test accuracy 0.604550004005, loop: 2030
percent test accuracy 0.604775011539, loop: 2040
percent test accuracy 0.603962481022, loop: 2050
percent test accuracy 0.604887485504, loop: 2060
percent test accuracy 0.605037510395, loop: 2070
percent test accuracy 0.604712486267, loop: 2080
percent test accuracy 0.604300022125, loop: 2090
percent test accuracy 0.605537474155, loop: 2100
percent test accuracy 0.606537520885, loop: 2110
percent test accuracy 0.606299996376, loop: 2120
percent test accuracy 0.606087505817, loop: 2130
percent test accuracy 0.605000019073, loop: 2140
percent test accuracy 0.605012476444, loop: 2150
percent test accuracy 0.605987489223, loop: 2160
